SalesOrderNumber,SalesOrderLineNumber,CustomerKey,ProductKey,OrderDate,DueDate,ShipDate,SalesTerritoryKey,OrderQuantity,UnitPrice,ProductStandardCost,SalesAmount,TaxAmount,FreightAmount,
SO63315,2,27451,484,1/1/2023,1/11/2023,1/8/2023,6,1,7.95,2.9733,7.95,0.636,0.1988,
SO63315,3,27451,467,1/1/2023,1/11/2023,1/8/2023,6,1,24.49,9.1593,24.49,1.9592,0.6123,
SO63316,1,14748,528,1/1/2023,1/11/2023,1/8/2023,4,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63316,2,14748,483,1/1/2023,1/11/2023,1/8/2023,4,1,120,44.88,120,9.6,3,
SO63317,1,16017,528,1/1/2023,1/11/2023,1/8/2023,4,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63317,2,16017,487,1/1/2023,1/11/2023,1/8/2023,4,1,54.99,20.5663,54.99,4.3992,1.3748,
SO63318,1,14111,485,1/1/2023,1/11/2023,1/8/2023,1,1,21.98,8.2205,21.98,1.7584,0.5495,
SO63318,2,14111,487,1/1/2023,1/11/2023,1/8/2023,1,1,54.99,20.5663,54.99,4.3992,1.3748,
SO63319,1,14241,485,1/1/2023,1/11/2023,1/8/2023,4,1,21.98,8.2205,21.98,1.7584,0.5495,
SO63319,2,14241,487,1/1/2023,1/11/2023,1/8/2023,4,1,54.99,20.5663,54.99,4.3992,1.3748,
SO63319,3,14241,484,1/1/2023,1/11/2023,1/8/2023,4,1,7.95,2.9733,7.95,0.636,0.1988,
SO63320,1,16397,528,1/1/2023,1/11/2023,1/8/2023,8,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63320,2,16397,535,1/1/2023,1/11/2023,1/8/2023,8,1,24.99,9.3463,24.99,1.9992,0.6248,
SO63320,3,16397,214,1/1/2023,1/11/2023,1/8/2023,8,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63321,1,19248,539,1/1/2023,1/11/2023,1/8/2023,8,1,24.99,9.3463,24.99,1.9992,0.6248,
SO63321,2,19248,480,1/1/2023,1/11/2023,1/8/2023,8,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63321,3,19248,483,1/1/2023,1/11/2023,1/8/2023,8,1,120,44.88,120,9.6,3,
SO63322,1,29408,490,1/1/2023,1/11/2023,1/8/2023,7,1,53.99,41.5723,53.99,4.3192,1.3498,
SO63323,1,22557,477,1/1/2023,1/11/2023,1/8/2023,10,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63324,1,26834,529,1/1/2023,1/11/2023,1/8/2023,10,1,3.99,1.4923,3.99,0.3192,0.0998,
SO63324,2,26834,480,1/1/2023,1/11/2023,1/8/2023,10,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63325,1,22867,529,1/1/2023,1/11/2023,1/8/2023,8,1,3.99,1.4923,3.99,0.3192,0.0998,
SO63325,2,22867,222,1/1/2023,1/11/2023,1/8/2023,8,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63326,1,28754,541,1/1/2023,1/11/2023,1/8/2023,8,1,28.99,10.8423,28.99,2.3192,0.7248,
SO63326,2,28754,530,1/1/2023,1/11/2023,1/8/2023,8,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63326,3,28754,222,1/1/2023,1/11/2023,1/8/2023,8,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63327,1,23766,530,1/1/2023,1/11/2023,1/8/2023,8,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63327,2,23766,541,1/1/2023,1/11/2023,1/8/2023,8,1,28.99,10.8423,28.99,2.3192,0.7248,
SO63327,3,23766,217,1/1/2023,1/11/2023,1/8/2023,8,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63328,1,25685,538,1/1/2023,1/11/2023,1/8/2023,8,1,21.49,8.0373,21.49,1.7192,0.5373,
SO63329,1,11137,537,1/1/2023,1/11/2023,1/8/2023,1,1,35,13.09,35,2.8,0.875,
SO63329,2,11137,480,1/1/2023,1/11/2023,1/8/2023,1,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63329,3,11137,486,1/1/2023,1/11/2023,1/8/2023,1,1,159,59.466,159,12.72,3.975,
SO63330,1,11719,537,1/1/2023,1/11/2023,1/8/2023,6,1,35,13.09,35,2.8,0.875,
SO63331,1,17409,485,1/1/2023,1/11/2023,1/8/2023,6,1,21.98,8.2205,21.98,1.7584,0.5495,
SO63331,2,17409,484,1/1/2023,1/11/2023,1/8/2023,6,1,7.95,2.9733,7.95,0.636,0.1988,
SO63331,3,17409,483,1/1/2023,1/11/2023,1/8/2023,6,1,120,44.88,120,9.6,3,
SO63332,1,25733,479,1/1/2023,1/11/2023,1/8/2023,7,1,8.99,3.3623,8.99,0.7192,0.2248,
SO63332,2,25733,477,1/1/2023,1/11/2023,1/8/2023,7,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63332,3,25733,491,1/1/2023,1/11/2023,1/8/2023,7,1,53.99,41.5723,53.99,4.3192,1.3498,
SO63332,4,25733,225,1/1/2023,1/11/2023,1/8/2023,7,1,8.99,6.9223,8.99,0.7192,0.2248,
SO63333,1,13334,485,1/1/2023,1/11/2023,1/8/2023,1,1,21.98,8.2205,21.98,1.7584,0.5495,
SO63333,2,13334,477,1/1/2023,1/11/2023,1/8/2023,1,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63333,3,13334,478,1/1/2023,1/11/2023,1/8/2023,1,1,9.99,3.7363,9.99,0.7992,0.2498,
SO63333,4,13334,222,1/1/2023,1/11/2023,1/8/2023,1,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63334,1,11579,214,1/1/2023,1/11/2023,1/8/2023,10,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63334,2,11579,225,1/1/2023,1/11/2023,1/8/2023,10,1,8.99,6.9223,8.99,0.7192,0.2248,
SO63335,1,18947,590,1/1/2023,1/11/2023,1/8/2023,4,1,769.49,419.7784,769.49,61.5592,19.2373,
SO63335,2,18947,217,1/1/2023,1/11/2023,1/8/2023,4,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63336,1,19738,598,1/1/2023,1/11/2023,1/8/2023,1,1,539.99,294.5797,539.99,43.1992,13.4998,
SO63336,2,19738,528,1/1/2023,1/11/2023,1/8/2023,1,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63336,3,19738,535,1/1/2023,1/11/2023,1/8/2023,1,1,24.99,9.3463,24.99,1.9992,0.6248,
SO63336,4,19738,217,1/1/2023,1/11/2023,1/8/2023,1,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63337,1,15994,600,1/1/2023,1/11/2023,1/8/2023,1,1,539.99,294.5797,539.99,43.1992,13.4998,
SO63337,2,15994,478,1/1/2023,1/11/2023,1/8/2023,1,1,9.99,3.7363,9.99,0.7992,0.2498,
SO63337,3,15994,477,1/1/2023,1/11/2023,1/8/2023,1,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63337,4,15994,491,1/1/2023,1/11/2023,1/8/2023,1,1,53.99,41.5723,53.99,4.3192,1.3498,
SO63338,1,15419,357,1/1/2023,1/11/2023,1/8/2023,1,1,2319.99,1265.6195,2319.99,185.5992,57.9998,
SO63339,1,15491,353,1/1/2023,1/11/2023,1/8/2023,5,1,2319.99,1265.6195,2319.99,185.5992,57.9998,
SO63339,2,15491,478,1/1/2023,1/11/2023,1/8/2023,5,1,9.99,3.7363,9.99,0.7992,0.2498,
SO63339,3,15491,473,1/1/2023,1/11/2023,1/8/2023,5,1,63.5,23.749,63.5,5.08,1.5875,
SO63339,4,15491,477,1/1/2023,1/11/2023,1/8/2023,5,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63340,1,12448,359,1/1/2023,1/11/2023,1/8/2023,1,1,2294.99,1251.9813,2294.99,183.5992,57.3748,
SO63340,2,12448,537,1/1/2023,1/11/2023,1/8/2023,1,1,35,13.09,35,2.8,0.875,
SO63340,3,12448,528,1/1/2023,1/11/2023,1/8/2023,1,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63340,4,12448,480,1/1/2023,1/11/2023,1/8/2023,1,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63341,1,12452,353,1/1/2023,1/11/2023,1/8/2023,1,1,2319.99,1265.6195,2319.99,185.5992,57.9998,
SO63341,2,12452,537,1/1/2023,1/11/2023,1/8/2023,1,1,35,13.09,35,2.8,0.875,
SO63341,3,12452,480,1/1/2023,1/11/2023,1/8/2023,1,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63342,1,15388,363,1/1/2023,1/11/2023,1/8/2023,4,1,2294.99,1251.9813,2294.99,183.5992,57.3748,
SO63342,2,15388,477,1/1/2023,1/11/2023,1/8/2023,4,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63342,3,15388,478,1/1/2023,1/11/2023,1/8/2023,4,1,9.99,3.7363,9.99,0.7992,0.2498,
SO63342,4,15388,222,1/1/2023,1/11/2023,1/8/2023,4,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63343,1,28518,569,1/1/2023,1/11/2023,1/8/2023,8,1,742.35,461.4448,742.35,59.388,18.5588,
SO63343,2,28518,484,1/1/2023,1/11/2023,1/8/2023,8,1,7.95,2.9733,7.95,0.636,0.1988,
SO63344,1,11413,571,1/1/2023,1/11/2023,1/8/2023,10,1,742.35,461.4448,742.35,59.388,18.5588,
SO63344,2,11413,541,1/1/2023,1/11/2023,1/8/2023,10,1,28.99,10.8423,28.99,2.3192,0.7248,
SO63344,3,11413,530,1/1/2023,1/11/2023,1/8/2023,10,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63344,4,11413,228,1/1/2023,1/11/2023,1/8/2023,10,1,49.99,38.4923,49.99,3.9992,1.2498,
SO63344,5,11413,225,1/1/2023,1/11/2023,1/8/2023,10,1,8.99,6.9223,8.99,0.7192,0.2248,
SO63345,1,28502,565,1/1/2023,1/11/2023,1/8/2023,8,1,742.35,461.4448,742.35,59.388,18.5588,
SO63345,2,28502,222,1/1/2023,1/11/2023,1/8/2023,8,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63346,1,15033,581,1/1/2023,1/11/2023,1/8/2023,9,1,1700.99,1082.51,1700.99,136.0792,42.5248,
SO63346,2,15033,539,1/1/2023,1/11/2023,1/8/2023,9,1,24.99,9.3463,24.99,1.9992,0.6248,
SO63347,1,18255,372,1/1/2023,1/11/2023,1/8/2023,9,1,2443.35,1554.9479,2443.35,195.468,61.0838,
SO63347,2,18255,540,1/1/2023,1/11/2023,1/8/2023,9,1,32.6,12.1924,32.6,2.608,0.815,
SO63347,3,18255,529,1/1/2023,1/11/2023,1/8/2023,9,1,3.99,1.4923,3.99,0.3192,0.0998,
SO63347,4,18255,482,1/1/2023,1/11/2023,1/8/2023,9,1,8.99,3.3623,8.99,0.7192,0.2248,
SO63348,1,20629,372,1/1/2023,1/11/2023,1/8/2023,9,1,2443.35,1554.9479,2443.35,195.468,61.0838,
SO63348,2,20629,529,1/1/2023,1/11/2023,1/8/2023,9,1,3.99,1.4923,3.99,0.3192,0.0998,
SO63348,3,20629,540,1/1/2023,1/11/2023,1/8/2023,9,1,32.6,12.1924,32.6,2.608,0.815,
SO63348,4,20629,480,1/1/2023,1/11/2023,1/8/2023,9,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63349,1,14071,353,1/1/2023,1/11/2023,1/8/2023,9,1,2319.99,1265.6195,2319.99,185.5992,57.9998,
SO63350,1,14215,361,1/1/2023,1/11/2023,1/8/2023,9,1,2294.99,1251.9813,2294.99,183.5992,57.3748,
SO63350,2,14215,528,1/1/2023,1/11/2023,1/8/2023,9,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63350,3,14215,537,1/1/2023,1/11/2023,1/8/2023,9,1,35,13.09,35,2.8,0.875,
SO63350,4,14215,485,1/1/2023,1/11/2023,1/8/2023,9,1,21.98,8.2205,21.98,1.7584,0.5495,
SO63350,5,14215,478,1/1/2023,1/11/2023,1/8/2023,9,1,9.99,3.7363,9.99,0.7992,0.2498,
SO63351,1,25888,560,1/1/2023,1/11/2023,1/8/2023,1,1,1214.85,755.1508,1214.85,97.188,30.3713,
SO63351,2,25888,541,1/1/2023,1/11/2023,1/8/2023,1,1,28.99,10.8423,28.99,2.3192,0.7248,
SO63351,3,25888,530,1/1/2023,1/11/2023,1/8/2023,1,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63352,1,26091,575,1/1/2023,1/11/2023,1/8/2023,4,1,2384.07,1481.9379,2384.07,190.7256,59.6018,
SO63352,2,26091,479,1/1/2023,1/11/2023,1/8/2023,4,1,8.99,3.3623,8.99,0.7192,0.2248,
SO63352,3,26091,477,1/1/2023,1/11/2023,1/8/2023,4,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63352,4,26091,487,1/1/2023,1/11/2023,1/8/2023,4,1,54.99,20.5663,54.99,4.3992,1.3748,
SO63353,1,22252,576,1/1/2023,1/11/2023,1/8/2023,6,1,2384.07,1481.9379,2384.07,190.7256,59.6018,
SO63353,2,22252,217,1/1/2023,1/11/2023,1/8/2023,6,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63353,3,22252,237,1/1/2023,1/11/2023,1/8/2023,6,1,49.99,38.4923,49.99,3.9992,1.2498,
SO63354,1,23334,605,1/1/2023,1/11/2023,1/8/2023,1,1,539.99,343.6496,539.99,43.1992,13.4998,
SO63354,2,23334,477,1/1/2023,1/11/2023,1/8/2023,1,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63354,3,23334,479,1/1/2023,1/11/2023,1/8/2023,1,1,8.99,3.3623,8.99,0.7192,0.2248,
SO63355,1,23058,606,1/1/2023,1/11/2023,1/8/2023,4,1,539.99,343.6496,539.99,43.1992,13.4998,
SO63355,2,23058,479,1/1/2023,1/11/2023,1/8/2023,4,1,8.99,3.3623,8.99,0.7192,0.2248,
SO63355,3,23058,477,1/1/2023,1/11/2023,1/8/2023,4,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63355,4,23058,214,1/1/2023,1/11/2023,1/8/2023,4,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63356,1,20660,382,1/1/2023,1/11/2023,1/8/2023,1,1,1120.49,713.0798,1120.49,89.6392,28.0123,
SO63356,2,20660,217,1/1/2023,1/11/2023,1/8/2023,1,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63356,3,20660,463,1/1/2023,1/11/2023,1/8/2023,1,1,24.49,9.1593,24.49,1.9592,0.6123,
SO63357,1,17677,583,1/1/2023,1/11/2023,1/8/2023,1,1,1700.99,1082.51,1700.99,136.0792,42.5248,
SO63357,2,17677,222,1/1/2023,1/11/2023,1/8/2023,1,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63358,1,20826,382,1/1/2023,1/11/2023,1/8/2023,7,1,1120.49,713.0798,1120.49,89.6392,28.0123,
SO63358,2,20826,539,1/1/2023,1/11/2023,1/8/2023,7,1,24.99,9.3463,24.99,1.9992,0.6248,
SO63358,3,20826,529,1/1/2023,1/11/2023,1/8/2023,7,1,3.99,1.4923,3.99,0.3192,0.0998,
SO63358,4,20826,463,1/1/2023,1/11/2023,1/8/2023,7,1,24.49,9.1593,24.49,1.9592,0.6123,
SO63359,1,24114,382,1/1/2023,1/11/2023,1/8/2023,10,1,1120.49,713.0798,1120.49,89.6392,28.0123,
SO63359,2,24114,225,1/1/2023,1/11/2023,1/8/2023,10,1,8.99,6.9223,8.99,0.7192,0.2248,
SO63359,3,24114,231,1/1/2023,1/11/2023,1/8/2023,10,1,49.99,38.4923,49.99,3.9992,1.2498,
SO63360,1,11417,605,1/1/2023,1/11/2023,1/8/2023,7,1,539.99,343.6496,539.99,43.1992,13.4998,
SO63360,2,11417,479,1/1/2023,1/11/2023,1/8/2023,7,1,8.99,3.3623,8.99,0.7192,0.2248,
SO63361,1,18125,562,1/1/2023,1/11/2023,1/8/2023,8,1,2384.07,1481.9379,2384.07,190.7256,59.6018,
SO63362,1,15692,573,1/1/2023,1/11/2023,1/8/2023,10,1,2384.07,1481.9379,2384.07,190.7256,59.6018,
SO63362,2,15692,222,1/1/2023,1/11/2023,1/8/2023,10,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63363,1,14685,539,1/2/2023,1/12/2023,1/9/2023,9,1,24.99,9.3463,24.99,1.9992,0.6248,
SO63363,2,14685,480,1/2/2023,1/12/2023,1/9/2023,9,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63364,1,18299,485,1/2/2023,1/12/2023,1/9/2023,9,1,21.98,8.2205,21.98,1.7584,0.5495,
SO63364,2,18299,484,1/2/2023,1/12/2023,1/9/2023,9,1,7.95,2.9733,7.95,0.636,0.1988,
SO63365,1,21279,528,1/2/2023,1/12/2023,1/9/2023,9,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63366,1,14518,488,1/2/2023,1/12/2023,1/9/2023,9,1,53.99,41.5723,53.99,4.3192,1.3498,
SO63366,2,14518,225,1/2/2023,1/12/2023,1/9/2023,9,1,8.99,6.9223,8.99,0.7192,0.2248,
SO63367,1,13605,380,1/2/2023,1/12/2023,1/9/2023,7,1,2443.35,1554.9479,2443.35,195.468,61.0838,
SO63367,2,13605,214,1/2/2023,1/12/2023,1/9/2023,7,1,34.99,13.0863,34.99,2.7992,0.8748,
SO63368,1,14170,590,1/2/2023,1/12/2023,1/9/2023,7,1,769.49,419.7784,769.49,61.5592,19.2373,
SO63368,2,14170,474,1/2/2023,1/12/2023,1/9/2023,7,1,69.99,26.1763,69.99,5.5992,1.7498,
SO63368,3,14170,482,1/2/2023,1/12/2023,1/9/2023,7,1,8.99,3.3623,8.99,0.7192,0.2248,
SO63369,1,17182,359,1/2/2023,1/12/2023,1/9/2023,10,1,2294.99,1251.9813,2294.99,183.5992,57.3748,
SO63369,2,17182,487,1/2/2023,1/12/2023,1/9/2023,10,1,54.99,20.5663,54.99,4.3992,1.3748,
SO63370,1,17188,359,1/2/2023,1/12/2023,1/9/2023,7,1,2294.99,1251.9813,2294.99,183.5992,57.3748,
SO63370,2,17188,487,1/2/2023,1/12/2023,1/9/2023,7,1,54.99,20.5663,54.99,4.3992,1.3748,
SO63371,1,16595,363,1/2/2023,1/12/2023,1/9/2023,10,1,2294.99,1251.9813,2294.99,183.5992,57.3748,
SO63371,2,16595,480,1/2/2023,1/12/2023,1/9/2023,10,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63372,1,13679,355,1/2/2023,1/12/2023,1/9/2023,10,1,2319.99,1265.6195,2319.99,185.5992,57.9998,
SO63372,2,13679,537,1/2/2023,1/12/2023,1/9/2023,10,1,35,13.09,35,2.8,0.875,
SO63373,1,11621,480,1/2/2023,1/12/2023,1/9/2023,1,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63374,1,27386,541,1/2/2023,1/12/2023,1/9/2023,4,1,28.99,10.8423,28.99,2.3192,0.7248,
SO63374,2,27386,530,1/2/2023,1/12/2023,1/9/2023,4,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63374,3,27386,480,1/2/2023,1/12/2023,1/9/2023,4,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63375,1,27052,541,1/2/2023,1/12/2023,1/9/2023,1,1,28.99,10.8423,28.99,2.3192,0.7248,
SO63375,2,27052,530,1/2/2023,1/12/2023,1/9/2023,1,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63375,3,27052,480,1/2/2023,1/12/2023,1/9/2023,1,1,2.29,0.8565,2.29,0.1832,0.0573,
SO63376,1,22339,478,1/2/2023,1/12/2023,1/9/2023,1,1,9.99,3.7363,9.99,0.7992,0.2498,
SO63376,2,22339,477,1/2/2023,1/12/2023,1/9/2023,1,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63377,1,19804,476,1/2/2023,1/12/2023,1/9/2023,1,1,69.99,26.1763,69.99,5.5992,1.7498,
SO63377,2,19804,489,1/2/2023,1/12/2023,1/9/2023,1,1,53.99,41.5723,53.99,4.3192,1.3498,
SO63378,1,14077,478,1/2/2023,1/12/2023,1/9/2023,6,1,9.99,3.7363,9.99,0.7992,0.2498,
SO63378,2,14077,477,1/2/2023,1/12/2023,1/9/2023,6,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63378,3,14077,491,1/2/2023,1/12/2023,1/9/2023,6,1,53.99,41.5723,53.99,4.3192,1.3498,
SO63379,1,16009,463,1/2/2023,1/12/2023,1/9/2023,6,1,24.49,9.1593,24.49,1.9592,0.6123,
SO63379,2,16009,474,1/2/2023,1/12/2023,1/9/2023,6,1,69.99,26.1763,69.99,5.5992,1.7498,
SO63380,1,28986,474,1/2/2023,1/12/2023,1/9/2023,6,1,69.99,26.1763,69.99,5.5992,1.7498,
SO63380,2,28986,225,1/2/2023,1/12/2023,1/9/2023,6,1,8.99,6.9223,8.99,0.7192,0.2248,
SO63381,1,17507,477,1/2/2023,1/12/2023,1/9/2023,4,1,4.99,1.8663,4.99,0.3992,0.1248,
SO63381,2,17507,487,1/2/2023,1/12/2023,1/9/2023,4,1,54.99,20.5663,54.99,4.3992,1.3748,
SO63381,3,17507,481,1/2/2023,1/12/2023,1/9/2023,4,1,8.99,3.3623,8.99,0.7192,0.2248,
