SalesOrderNumber,SalesOrderLineNumber,CustomerKey,ProductKey,OrderDate,DueDate,ShipDate,SalesTerritoryKey,OrderQuantity,UnitPrice,ProductStandardCost,SalesAmount,TaxAmount,FreightAmount
SO43719,1,27612,312,7/3/2020,7/13/2020,7/10/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43720,1,13264,311,7/3/2020,7/13/2020,7/10/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43721,1,13590,310,7/3/2020,7/13/2020,7/10/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43722,1,13581,312,7/4/2020,7/14/2020,7/11/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43723,1,14520,332,7/4/2020,7/14/2020,7/11/2020,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43724,1,16520,311,7/4/2020,7/14/2020,7/11/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43725,1,13258,311,7/4/2020,7/14/2020,7/11/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43726,1,14560,332,7/4/2020,7/14/2020,7/11/2020,4,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43727,1,16607,311,7/4/2020,7/14/2020,7/11/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43728,1,27666,313,7/5/2020,7/15/2020,7/12/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43729,1,11238,346,7/5/2020,7/15/2020,7/12/2020,10,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43730,1,25861,346,7/5/2020,7/15/2020,7/12/2020,4,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43731,1,16629,314,7/5/2020,7/15/2020,7/12/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43732,1,11025,350,7/5/2020,7/15/2020,7/12/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43733,1,27577,312,7/5/2020,7/15/2020,7/12/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43734,1,27604,312,7/5/2020,7/15/2020,7/12/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43735,1,16522,310,7/5/2020,7/15/2020,7/12/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43736,1,11002,346,7/5/2020,7/15/2020,7/12/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43737,1,13261,311,7/6/2020,7/16/2020,7/13/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43738,1,11606,312,7/6/2020,7/16/2020,7/13/2020,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43739,1,13563,310,7/6/2020,7/16/2020,7/13/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43740,1,16527,312,7/6/2020,7/16/2020,7/13/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43741,1,27671,310,7/6/2020,7/16/2020,7/13/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43742,1,13576,314,7/6/2020,7/16/2020,7/13/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43743,1,11007,347,7/6/2020,7/16/2020,7/13/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43744,1,16631,313,7/6/2020,7/16/2020,7/13/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43745,1,16514,311,7/7/2020,7/17/2020,7/14/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43746,1,16616,312,7/7/2020,7/17/2020,7/14/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43747,1,27623,314,7/7/2020,7/17/2020,7/14/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43748,1,27625,313,7/7/2020,7/17/2020,7/14/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43749,1,27636,314,7/7/2020,7/17/2020,7/14/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43750,1,11591,311,7/7/2020,7/17/2020,7/14/2020,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43751,1,11592,313,7/7/2020,7/17/2020,7/14/2020,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43752,1,13265,311,7/7/2020,7/17/2020,7/14/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43753,1,16482,310,7/7/2020,7/17/2020,7/14/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43754,1,27617,312,7/8/2020,7/18/2020,7/15/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43755,1,27670,311,7/8/2020,7/18/2020,7/15/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43756,1,19941,332,7/8/2020,7/18/2020,7/15/2020,10,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43757,1,11017,350,7/8/2020,7/18/2020,7/15/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43758,1,27646,310,7/8/2020,7/18/2020,7/15/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43759,1,13257,310,7/8/2020,7/18/2020,7/15/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43760,1,16352,314,7/8/2020,7/18/2020,7/15/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43761,1,16493,310,7/8/2020,7/18/2020,7/15/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43762,1,27578,314,7/9/2020,7/19/2020,7/16/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43763,1,16525,313,7/9/2020,7/19/2020,7/16/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43764,1,16612,310,7/9/2020,7/19/2020,7/16/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43765,1,11010,346,7/9/2020,7/19/2020,7/16/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43766,1,16518,313,7/9/2020,7/19/2020,7/16/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43767,1,11001,350,7/9/2020,7/19/2020,7/16/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43768,1,27649,312,7/10/2020,7/20/2020,7/17/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43769,1,21659,312,7/10/2020,7/20/2020,7/17/2020,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43770,1,27614,312,7/10/2020,7/20/2020,7/17/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43771,1,14559,330,7/10/2020,7/20/2020,7/17/2020,4,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43772,1,16524,312,7/10/2020,7/20/2020,7/17/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43773,1,16526,314,7/10/2020,7/20/2020,7/17/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43774,1,16348,313,7/10/2020,7/20/2020,7/17/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43775,1,11027,347,7/10/2020,7/20/2020,7/17/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43776,1,13260,314,7/10/2020,7/20/2020,7/17/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43777,1,16515,311,7/10/2020,7/20/2020,7/17/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43778,1,11018,345,7/10/2020,7/20/2020,7/17/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43779,1,25252,326,7/10/2020,7/20/2020,7/17/2020,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43780,1,11599,311,7/11/2020,7/21/2020,7/18/2020,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43781,1,16495,312,7/11/2020,7/21/2020,7/18/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43782,1,16516,312,7/11/2020,7/21/2020,7/18/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43783,1,16620,312,7/11/2020,7/21/2020,7/18/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43784,1,27667,310,7/12/2020,7/22/2020,7/19/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43785,1,11601,311,7/12/2020,7/22/2020,7/19/2020,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43786,1,11607,311,7/12/2020,7/22/2020,7/19/2020,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43787,1,29385,344,7/12/2020,7/22/2020,7/19/2020,8,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43788,1,11239,351,7/12/2020,7/22/2020,7/19/2020,10,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43789,1,25865,351,7/12/2020,7/22/2020,7/19/2020,1,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43790,1,25857,344,7/12/2020,7/22/2020,7/19/2020,1,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43791,1,16484,314,7/12/2020,7/22/2020,7/19/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43792,1,16623,312,7/12/2020,7/22/2020,7/19/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43793,1,11000,344,7/12/2020,7/22/2020,7/19/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43794,1,11029,347,7/12/2020,7/22/2020,7/19/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43795,1,27615,312,7/13/2020,7/23/2020,7/20/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43796,1,17956,342,7/13/2020,7/23/2020,7/20/2020,7,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43797,1,16345,312,7/13/2020,7/23/2020,7/20/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43798,1,16521,310,7/13/2020,7/23/2020,7/20/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43799,1,16636,312,7/13/2020,7/23/2020,7/20/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43800,1,21710,311,7/13/2020,7/23/2020,7/20/2020,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43801,1,13583,311,7/13/2020,7/23/2020,7/20/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43802,1,11593,312,7/13/2020,7/23/2020,7/20/2020,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43803,1,21741,314,7/14/2020,7/24/2020,7/21/2020,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43804,1,13585,310,7/14/2020,7/24/2020,7/21/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43805,1,14510,328,7/14/2020,7/24/2020,7/21/2020,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43806,1,16523,312,7/14/2020,7/24/2020,7/21/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43807,1,11611,312,7/14/2020,7/24/2020,7/21/2020,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43808,1,13259,313,7/14/2020,7/24/2020,7/21/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43809,1,16350,310,7/14/2020,7/24/2020,7/21/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43810,1,11004,345,7/14/2020,7/24/2020,7/21/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43811,1,11026,346,7/14/2020,7/24/2020,7/21/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43812,1,27662,312,7/15/2020,7/25/2020,7/22/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43813,1,28390,350,7/15/2020,7/25/2020,7/22/2020,7,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43814,1,25866,350,7/15/2020,7/25/2020,7/22/2020,1,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43815,1,16494,311,7/15/2020,7/25/2020,7/22/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43816,1,16496,314,7/15/2020,7/25/2020,7/22/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43817,1,16519,310,7/15/2020,7/25/2020,7/22/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43818,1,16528,312,7/15/2020,7/25/2020,7/22/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43819,1,11006,346,7/15/2020,7/25/2020,7/22/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43820,1,27651,312,7/15/2020,7/25/2020,7/22/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43821,1,27663,310,7/15/2020,7/25/2020,7/22/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43822,1,27669,313,7/15/2020,7/25/2020,7/22/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43823,1,19942,342,7/15/2020,7/25/2020,7/22/2020,10,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43824,1,14558,338,7/15/2020,7/25/2020,7/22/2020,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43825,1,16349,313,7/15/2020,7/25/2020,7/22/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43826,1,11008,348,7/15/2020,7/25/2020,7/22/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43827,1,25250,338,7/15/2020,7/25/2020,7/22/2020,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43828,1,27605,310,7/16/2020,7/26/2020,7/23/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43829,1,27611,310,7/16/2020,7/26/2020,7/23/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43830,1,16347,311,7/16/2020,7/26/2020,7/23/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43831,1,11028,349,7/16/2020,7/26/2020,7/23/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43832,1,13584,310,7/16/2020,7/26/2020,7/23/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43833,1,21727,310,7/16/2020,7/26/2020,7/23/2020,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43834,1,28393,348,7/16/2020,7/26/2020,7/23/2020,7,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43835,1,19802,348,7/16/2020,7/26/2020,7/23/2020,6,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43836,1,26620,324,7/16/2020,7/26/2020,7/23/2020,6,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43837,1,11009,350,7/16/2020,7/26/2020,7/23/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43838,1,27641,313,7/17/2020,7/27/2020,7/24/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43839,1,27673,311,7/17/2020,7/27/2020,7/24/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43840,1,17957,326,7/17/2020,7/27/2020,7/24/2020,7,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43841,1,13406,314,7/17/2020,7/27/2020,7/24/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43842,1,16630,312,7/17/2020,7/27/2020,7/24/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43918,1,22041,313,7/17/2020,7/27/2020,7/24/2020,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43919,1,12124,314,7/17/2020,7/27/2020,7/24/2020,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43920,1,28066,313,7/17/2020,7/27/2020,7/24/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43921,1,16743,313,7/17/2020,7/27/2020,7/24/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43922,1,13546,310,7/17/2020,7/27/2020,7/24/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43923,1,28018,312,7/18/2020,7/28/2020,7/25/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43924,1,12132,310,7/18/2020,7/28/2020,7/25/2020,7,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43925,1,16661,314,7/18/2020,7/28/2020,7/25/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43926,1,11055,351,7/18/2020,7/28/2020,7/25/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43927,1,16662,314,7/18/2020,7/28/2020,7/25/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43928,1,16740,313,7/18/2020,7/28/2020,7/25/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43929,1,25270,322,7/18/2020,7/28/2020,7/25/2020,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43930,1,28038,312,7/19/2020,7/29/2020,7/26/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43931,1,13548,313,7/19/2020,7/29/2020,7/26/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43932,1,16741,314,7/19/2020,7/29/2020,7/26/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43933,1,11031,347,7/19/2020,7/29/2020,7/26/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43934,1,11034,346,7/19/2020,7/29/2020,7/26/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43935,1,20048,334,7/19/2020,7/29/2020,7/26/2020,10,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43936,1,28065,311,7/19/2020,7/29/2020,7/26/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43937,1,17047,312,7/19/2020,7/29/2020,7/26/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43938,1,16686,310,7/19/2020,7/29/2020,7/26/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43939,1,16659,312,7/19/2020,7/29/2020,7/26/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43940,1,25294,336,7/19/2020,7/29/2020,7/26/2020,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43941,1,13600,314,7/20/2020,7/30/2020,7/27/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43942,1,17051,310,7/20/2020,7/30/2020,7/27/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43943,1,14565,338,7/20/2020,7/30/2020,7/27/2020,4,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43944,1,11054,344,7/20/2020,7/30/2020,7/27/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43945,1,16675,310,7/20/2020,7/30/2020,7/27/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43946,1,16687,313,7/20/2020,7/30/2020,7/27/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43947,1,16712,310,7/20/2020,7/30/2020,7/27/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43948,1,11047,345,7/20/2020,7/30/2020,7/27/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43949,1,27726,310,7/20/2020,7/30/2020,7/27/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43950,1,28014,311,7/20/2020,7/30/2020,7/27/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43951,1,16696,311,7/20/2020,7/30/2020,7/27/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43952,1,16639,312,7/20/2020,7/30/2020,7/27/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43953,1,20049,342,7/21/2020,7/31/2020,7/28/2020,10,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43954,1,13602,311,7/21/2020,7/31/2020,7/28/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43955,1,13661,314,7/21/2020,7/31/2020,7/28/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43956,1,11030,344,7/21/2020,7/31/2020,7/28/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43957,1,28068,313,7/21/2020,7/31/2020,7/28/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43958,1,16658,312,7/21/2020,7/31/2020,7/28/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43959,1,11035,348,7/21/2020,7/31/2020,7/28/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43960,1,11046,349,7/21/2020,7/31/2020,7/28/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43961,1,28031,311,7/22/2020,8/1/2020,7/29/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43962,1,28076,312,7/22/2020,8/1/2020,7/29/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43963,1,16685,314,7/22/2020,8/1/2020,7/29/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43964,1,16745,312,7/22/2020,8/1/2020,7/29/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43965,1,11038,351,7/22/2020,8/1/2020,7/29/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43966,1,11039,347,7/22/2020,8/1/2020,7/29/2020,9,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43967,1,28040,313,7/22/2020,8/1/2020,7/29/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43968,1,28067,313,7/22/2020,8/1/2020,7/29/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43969,1,28071,310,7/22/2020,8/1/2020,7/29/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43970,1,16684,311,7/22/2020,8/1/2020,7/29/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43971,1,16657,314,7/22/2020,8/1/2020,7/29/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43972,1,21939,314,7/23/2020,8/2/2020,7/30/2020,6,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43973,1,28039,312,7/23/2020,8/2/2020,7/30/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43974,1,13687,312,7/23/2020,8/2/2020,7/30/2020,10,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43975,1,13540,312,7/23/2020,8/2/2020,7/30/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43976,1,28063,310,7/23/2020,8/2/2020,7/30/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43977,1,16703,312,7/23/2020,8/2/2020,7/30/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43978,1,28030,310,7/23/2020,8/2/2020,7/30/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43979,1,14576,322,7/23/2020,8/2/2020,7/30/2020,1,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43980,1,11048,351,7/23/2020,8/2/2020,7/30/2020,9,1,3374.99,1898.0944,3374.99,269.9992,84.3748
SO43981,1,16664,314,7/23/2020,8/2/2020,7/30/2020,9,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43982,1,25271,342,7/23/2020,8/2/2020,7/30/2020,9,1,699.0982,413.1463,699.0982,55.9279,17.4775
SO43983,1,28017,314,7/24/2020,8/3/2020,7/31/2020,1,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43984,1,13545,311,7/24/2020,8/3/2020,7/31/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43985,1,13515,313,7/24/2020,8/3/2020,7/31/2020,8,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43986,1,28070,310,7/24/2020,8/3/2020,7/31/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43987,1,28042,310,7/24/2020,8/3/2020,7/31/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43988,1,11244,344,7/24/2020,8/3/2020,7/31/2020,10,1,3399.99,1912.1544,3399.99,271.9992,84.9998
SO43989,1,28083,312,7/24/2020,8/3/2020,7/31/2020,4,1,3578.27,2171.2942,3578.27,286.2616,89.4568
SO43990,1,25872,344,7/24/2020,8/3/2020,7/31/2020,1,1,3399.99,1912.1544,3399.99,271.9992,84.9998
